lead_status,lifecycle_stage,contact_owner,last_activity_date,marketing_contact_status,create_date,student_type,athletics,event_attended,campus_location,paid_lead_list,organic_lead_list,degree,data_origin,normalized_source,lead_type
New,Lead,UDR 19,,Marketing contact,2026-06-11 08:35:00,Domestic (U.S. Citizen or Green Card Holder),,,,Source 72,,,Uploaded paid leads workbook,Source 72,Paid
New,Lead,UDR 19,,Marketing contact,2026-06-10 23:49:00,Domestic (U.S. Citizen or Green Card Holder),,,,Source 72,,,Uploaded paid leads workbook,Source 72,Paid
New,Lead,UDR 19,,Marketing contact,2026-06-10 23:15:00,Domestic (U.S. Citizen or Green Card Holder),,,,Source 72,,,Uploaded paid leads workbook,Source 72,Paid
New,Lead,UDR 19,,Marketing contact,2026-06-10 23:07:00,Domestic (U.S. Citizen or Green Card Holder),,,,Source 72,,,Uploaded paid leads workbook,Source 72,Paid
New,Lead,UDR 19,,Marketing contact,2026-06-10 22:48:00,Domestic (U.S. Citizen or Green Card Holder),,,,Source 72,,,Uploaded paid leads workbook,Source 72,Paid
New,Lead,UDR 19,,Marketing contact,2026-06-10 22:44:00,Domestic (U.S. Citizen or Green Card Holder),,,,Source 72,,,Uploaded paid leads workbook,Source 72,Paid
New,Lead,UDR 19,,Marketing contact,2026-06-10 22:26:00,Domestic (U.S. Citizen or Green Card Holder),,,,Source 72,,,Uploaded paid leads workbook,Source 72,Paid
New,Lead,UDR 19,,Marketing contact,2026-06-10 22:13:00,Domestic (U.S. Citizen or Green Card Holder),,,,Source 72,,,Uploaded paid leads workbook,Source 72,Paid
New,Lead,UDR 19,,Marketing contact,2026-06-10 21:52:00,Domestic (U.S. Citizen or Green Card Holder),,,,Source 72,,,Uploaded paid leads workbook,Source 72,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
Event Leads,Lead,UDR 25,,Marketing contact,2026-06-10 18:41:00,Military/Veteran,,Source 100,,Source 58,,,Uploaded paid leads workbook,Source 58,Paid
