sheet,budget_dimension,budget_name,source,planned_budget,term,term_budget
2026Roundup,UDR,UDR 16,UDR 16,107.0,Total,107.0
2026Roundup,UDR,UDR 16,UDR 16,107.0,SP-1 A,9.0
2026Roundup,UDR,UDR 16,UDR 16,107.0,SP1-G,16.0
2026Roundup,UDR,UDR 16,UDR 16,107.0,SP2-A,14.0
2026Roundup,UDR,UDR 16,UDR 16,107.0,SP2-G,15.0
2026Roundup,UDR,UDR 16,UDR 16,107.0,SU1-A,17.0
2026Roundup,UDR,UDR 16,UDR 16,107.0,SU1-G,16.0
2026Roundup,UDR,UDR 16,UDR 16,107.0,SU2 -A,14.0
2026Roundup,UDR,UDR 16,UDR 16,107.0,SU2- G,20.0
2026Roundup,UDR,UDR 16,UDR 16,107.0,FA1- A,1.0
2026Roundup,UDR,UDR 16,UDR 16,107.0,FA1 -G,20.0
2026Roundup,UDR,UDR 16,UDR 16,107.0,FA2 -G,24.0
2026Roundup,UDR,UDR 14,UDR 14,107.0,Total,107.0
2026Roundup,UDR,UDR 14,UDR 14,107.0,SP-1 A,16.0
2026Roundup,UDR,UDR 14,UDR 14,107.0,SP1-G,16.0
2026Roundup,UDR,UDR 14,UDR 14,107.0,SP2-A,15.0
2026Roundup,UDR,UDR 14,UDR 14,107.0,SP2-G,15.0
2026Roundup,UDR,UDR 14,UDR 14,107.0,SU1-A,0.0
2026Roundup,UDR,UDR 14,UDR 14,107.0,SU1-G,16.0
2026Roundup,UDR,UDR 08,UDR 08,107.0,Total,107.0
2026Roundup,UDR,UDR 08,UDR 08,107.0,SP-1 A,9.0
2026Roundup,UDR,UDR 08,UDR 08,107.0,SP1-G,16.0
2026Roundup,UDR,UDR 08,UDR 08,107.0,SP2-A,16.0
2026Roundup,UDR,UDR 08,UDR 08,107.0,SP2-G,15.0
2026Roundup,UDR,UDR 08,UDR 08,107.0,SU1-A,20.0
2026Roundup,UDR,UDR 08,UDR 08,107.0,SU1-G,16.0
2026Roundup,UDR,UDR 08,UDR 08,107.0,SU2 -A,9.0
2026Roundup,UDR,UDR 08,UDR 08,107.0,SU2- G,20.0
2026Roundup,UDR,UDR 08,UDR 08,107.0,FA1 -G,20.0
2026Roundup,UDR,UDR 08,UDR 08,107.0,FA2 -G,24.0
2026Roundup,UDR,UDR 37,UDR 37,107.0,Total,107.0
2026Roundup,UDR,UDR 37,UDR 37,107.0,SP-1 A,20.0
2026Roundup,UDR,UDR 37,UDR 37,107.0,SP1-G,16.0
2026Roundup,UDR,UDR 37,UDR 37,107.0,SP2-A,18.0
2026Roundup,UDR,UDR 37,UDR 37,107.0,SP2-G,15.0
2026Roundup,UDR,UDR 37,UDR 37,107.0,SU1-A,20.0
2026Roundup,UDR,UDR 37,UDR 37,107.0,SU1-G,16.0
2026Roundup,UDR,UDR 37,UDR 37,107.0,SU2 -A,23.0
2026Roundup,UDR,UDR 37,UDR 37,107.0,SU2- G,20.0
2026Roundup,UDR,UDR 37,UDR 37,107.0,FA1- A,5.0
2026Roundup,UDR,UDR 37,UDR 37,107.0,FA1 -G,20.0
2026Roundup,UDR,UDR 37,UDR 37,107.0,FA2 -G,18.0
2026Roundup,UDR,UDR 30,UDR 30,107.0,Total,107.0
2026Roundup,UDR,UDR 30,UDR 30,107.0,SP-1 A,16.0
2026Roundup,UDR,UDR 30,UDR 30,107.0,SP1-G,10.0
2026Roundup,UDR,UDR 30,UDR 30,107.0,SP2-A,16.0
2026Roundup,UDR,UDR 30,UDR 30,107.0,SP2-G,15.0
2026Roundup,UDR,UDR 30,UDR 30,107.0,SU1-A,20.0
2026Roundup,UDR,UDR 30,UDR 30,107.0,SU1-G,16.0
2026Roundup,UDR,UDR 30,UDR 30,107.0,SU2 -A,16.0
2026Roundup,UDR,UDR 30,UDR 30,107.0,SU2- G,20.0
2026Roundup,UDR,UDR 30,UDR 30,107.0,FA1- A,2.0
2026Roundup,UDR,UDR 30,UDR 30,107.0,FA1 -G,20.0
2026Roundup,UDR,UDR 30,UDR 30,107.0,FA2 -G,21.0
2026Roundup,UDR,UDR 10,UDR 10,107.0,Total,107.0
2026Roundup,UDR,UDR 10,UDR 10,107.0,SP-1 A,17.0
2026Roundup,UDR,UDR 10,UDR 10,107.0,SP1-G,10.0
2026Roundup,UDR,UDR 10,UDR 10,107.0,SP2-A,14.0
2026Roundup,UDR,UDR 10,UDR 10,107.0,SP2-G,15.0
2026Roundup,UDR,UDR 10,UDR 10,107.0,SU1-A,19.0
2026Roundup,UDR,UDR 10,UDR 10,107.0,SU1-G,16.0
2026Roundup,UDR,UDR 10,UDR 10,107.0,SU2 -A,21.0
