row_label,applicant,lead,blank,grand_total,l2a
Add3,1,1,,2,0.5
Agent,2,,,2,1
Archer,,133,,133,0
ATRA,1,56,,57,0.017543859649122806
Clearance Jobs,,85,,85,0
EBG,5,185,,190,0.02631578947368421
Edcor,,19,,19,0
Eddie Leads,6,4022,,4028,0.0014895729890764648
ED-DY,,220,,220,0
Elijah Events,,6,,6,0
ES,,12,,12,0
HireGI,13,1181,,1194,0.010887772194304857
Jordan Events,,1,,1,0
Juliene's Events,8,3180,,3188,0.002509410288582183
Kara Leads,12,7946,,7958,0.0015079165619502387
Karyl Leads,1,1227,,1228,0.0008143322475570033
Megan's Events,1,1392,,1393,0.0007178750897343862
MyBaseGuide,,2,,2,0
Nathen,1,74,,75,0.013333333333333334
Newsmax,,1,,1,0
No Value,2,2,,4,0.5
Oby,,10,,10,0
Project Falcon,16,1260,,1276,0.012539184952978056
Project Maverick,14,1183,,1197,0.011695906432748537
QS,,487,,487,0
School Match,,293,,293,0
Siembra,,371,,371,0
SPJ Leads,1,,,1,1
Town Hall,7,337,,344,0.020348837209302327
UDRs Events,,7,,7,0
Vinyl Interactive,1,270,,271,0.0036900369003690036
Viqtory,9,354,,363,0.024793388429752067
Virtual Fair,,1,,1,0
