row_label,column_1,app_submitted_qualified,app_submitted_unqualified,duplicate_lead,enrolled,event_leads,future_applicant,hot_lead,interviewed_app_ready,interviewed_not_ready,new,no_show,outreach_attempt_1,outreach_attempt_2,outreach_attempt_3,outreach_attempt_4,qualified_meeting_set,responded,unqualified_meeting_set,warm_lead,blank,grand_total,l2c
Source 04,,,,,,,,,,,1,,1,,,,,,,,,2,0
Source 06,,1,1,,,,,,,,,,,,,,,,,,,2,1
Source 08,,,,,,,,,,,,4,16,22,27,53,,,,11,,133,0.11278195488721804
Source 02,,1,,,,,,,,,,,9,5,9,22,,,,11,,57,0.21052631578947367
Source 19,,,,,,,,,,1,,,75,3,,,,4,,2,,85,0.08235294117647059
Source 30,,2,2,,,,5,7,1,8,11,9,69,32,10,10,3,10,4,7,,190,0.30526315789473685
Source 33,,,,,,,1,,2,1,,1,3,3,3,3,1,,,1,,19,0.3684210526315789
Source 35,2,5,1,,,2599,10,8,5,14,,2,573,276,121,270,1,36,,105,,4028,0.13086074177746676
Source 31,,,,,,,,,,2,,2,35,29,17,129,1,1,,4,,220,0.045454545454545456
Source 37,,,,,,,,,,,1,,2,3,,,,,,,,6,0
Source 32,,,,,,,,,,,,1,2,,,6,,,,3,,12,0.3333333333333333
Source 46,,9,4,,,,48,29,9,33,10,16,585,142,44,36,20,59,4,146,,1194,0.3157453936348409
Source 52,,,,,,,,,,,,,1,,,,,,,,,1,0
Source 56,2,1,3,,1,,2,1,2,1,,14,970,939,706,341,2,1,1,201,,3188,0.07214554579673776
Source 58,2,9,2,2,,5267,14,114,13,22,18,14,1388,296,63,507,8,47,2,170,,7958,0.15421776291341507
Source 60,6,,,,,599,1,10,4,7,50,2,261,96,67,61,6,35,1,22,,1228,0.13990461049284578
Source 63,,1,,,,,1,,,,,,950,302,38,87,,1,,13,,1393,0.01148600143575018
Source 66,,,,,,,,,,,,,,1,,1,,,,,,2,0
Source 68,37,,1,,,,1,1,,1,1,,23,2,,,1,3,,4,,75,0.16
Source 70,,,,,,,,,,,,,1,,,,,,,,,1,0
Source 71,,,1,,,,1,,,,,,,,,,,1,,1,,4,1
Source 72,,,,,,,,,,,10,,,,,,,,,,,10,0
Source 80,,6,11,,,,11,36,12,52,36,57,429,235,103,78,27,71,24,88,,1276,0.30956112852664575
Source 81,,2,8,,,,2,12,8,14,109,22,785,79,19,4,11,60,17,45,,1197,0.16791979949874686
Source 82,,,,,,,1,,,,,,222,89,72,78,1,,,24,,487,0.053388090349075976
Source 117,,,,,,,,,,,,2,9,26,90,140,,,,26,,293,0.09556313993174062
Source 118,371,,,,,,,,,,,,,,,,,,,,,371,0
Source 112,,1,,,,,,,,,,,,,,,,,,,,1,1
Source 128,,2,4,,,,1,8,2,7,6,16,141,47,33,29,6,6,4,32,,344,0.2558139534883721
Source 131,,,,,,,,,,,,,6,,,,,,,1,,7,0.14285714285714285
Source 138,,1,,,,,,,,2,16,2,200,28,7,3,2,7,1,2,,271,0.06273062730627306
Source 139,,3,2,,,,1,5,2,8,6,22,56,28,55,115,3,3,2,52,,363,0.2837465564738292
Source 140,,,,,,,,,,,,,,,,,,,,1,,1,1
